"filename", "language", "PHP", "CSS", "JavaScript", "Less", "SQL", "XML", "Batch", "Shell Script", "comment", "blank", "total"
"c:\xampp\htdocs\webproject\printticket.php", "PHP", 158, 0, 0, 0, 0, 0, 0, 0, 22, 37, 217
"c:\xampp\htdocs\webproject\process_data.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\xampp\htdocs\webproject\register.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 10, 7, 89
"c:\xampp\htdocs\webproject\script\app.js", "JavaScript", 0, 0, 256, 0, 0, 0, 0, 0, 16, 27, 299
"c:\xampp\htdocs\webproject\style\addtocart.css", "CSS", 0, 44, 0, 0, 0, 0, 0, 0, 0, 6, 50
"c:\xampp\htdocs\webproject\style\allflights.css", "CSS", 0, 179, 0, 0, 0, 0, 0, 0, 0, 32, 211
"c:\xampp\htdocs\webproject\style\detail.css", "CSS", 0, 193, 0, 0, 0, 0, 0, 0, 0, 39, 232
"c:\xampp\htdocs\webproject\style\fdetstyle.less", "Less", 0, 0, 0, 86, 0, 0, 0, 0, 0, 13, 99
"c:\xampp\htdocs\webproject\style\header_foot.css", "CSS", 0, 198, 0, 0, 0, 0, 0, 0, 1, 30, 229
"c:\xampp\htdocs\webproject\style\style.css", "CSS", 0, 516, 0, 0, 0, 0, 0, 0, 4, 71, 591
"c:\xampp\htdocs\webproject\style\styleflight.css", "CSS", 0, 342, 0, 0, 0, 0, 0, 0, 5, 61, 408
"c:\xampp\htdocs\webproject\style\user.css", "CSS", 0, 136, 0, 0, 0, 0, 0, 0, 0, 17, 153
"c:\xampp\htdocs\webproject\user.php", "PHP", 264, 0, 0, 0, 0, 0, 0, 0, 6, 7, 277
"Total", "-", 10335, 1904, 311, 86, 151, 1, 2, 1, 2430, 2143, 17364
